region,time,spei_true,spei_pred_persistence
SADC,2009-01-01,-0.17346881330013275,-0.2300538271665573
SADC,2009-02-01,0.04326979070901871,-0.17346881330013275
SADC,2009-03-01,0.048672664910554886,0.04326979070901871
SADC,2009-04-01,-0.0038377647288143635,0.048672664910554886
SADC,2009-05-01,-0.31724604964256287,-0.0038377647288143635
SADC,2009-06-01,-0.3348618745803833,-0.31724604964256287
SADC,2009-07-01,0.1656826287508011,-0.3348618745803833
SADC,2009-08-01,-0.3753584623336792,0.1656826287508011
SADC,2009-09-01,-0.5613853335380554,-0.3753584623336792
SADC,2009-10-01,-0.4522533118724823,-0.5613853335380554
SADC,2009-11-01,0.11798211932182312,-0.4522533118724823
SADC,2009-12-01,-0.0012621998321264982,0.11798211932182312
SADC,2010-01-01,0.09030859172344208,-0.0012621998321264982
SADC,2010-02-01,-0.08073654770851135,0.09030859172344208
SADC,2010-03-01,-0.1024467721581459,-0.08073654770851135
SADC,2010-04-01,-0.2016686052083969,-0.1024467721581459
SADC,2010-05-01,-0.15739277005195618,-0.2016686052083969
SADC,2010-06-01,-0.015969185158610344,-0.15739277005195618
SADC,2010-07-01,-0.48789939284324646,-0.015969185158610344
SADC,2010-08-01,-0.6905170679092407,-0.48789939284324646
SADC,2010-09-01,-0.9127161502838135,-0.6905170679092407
SADC,2010-10-01,-0.9788088798522949,-0.9127161502838135
SADC,2010-11-01,-0.5136052966117859,-0.9788088798522949
SADC,2010-12-01,-0.14077337086200714,-0.5136052966117859
SADC,2011-01-01,0.12588822841644287,-0.14077337086200714
SADC,2011-02-01,0.16874593496322632,0.12588822841644287
SADC,2011-03-01,0.10749409347772598,0.16874593496322632
SADC,2011-04-01,0.10309059917926788,0.10749409347772598
SADC,2011-05-01,0.18435931205749512,0.10309059917926788
SADC,2011-06-01,0.3356386423110962,0.18435931205749512
SADC,2011-07-01,0.0057388730347156525,0.3356386423110962
SADC,2011-08-01,-0.1542169153690338,0.0057388730347156525
SADC,2011-09-01,-0.5274519920349121,-0.1542169153690338
SADC,2011-10-01,-0.39101967215538025,-0.5274519920349121
SADC,2011-11-01,-0.25289663672447205,-0.39101967215538025
SADC,2011-12-01,0.062314700335264206,-0.25289663672447205
SADC,2012-01-01,-0.09278805553913116,0.062314700335264206
SADC,2012-02-01,-0.0897645354270935,-0.09278805553913116
SADC,2012-03-01,-0.2712959349155426,-0.0897645354270935
SADC,2012-04-01,-0.12587672472000122,-0.2712959349155426
SADC,2012-05-01,-0.2986205220222473,-0.12587672472000122
SADC,2012-06-01,-0.3437548279762268,-0.2986205220222473
SADC,2012-07-01,-0.367496520280838,-0.3437548279762268
SADC,2012-08-01,-0.3404959440231323,-0.367496520280838
SADC,2012-09-01,-0.23205618560314178,-0.3404959440231323
SADC,2012-10-01,0.024059010669589043,-0.23205618560314178
SADC,2012-11-01,-0.2020641267299652,0.024059010669589043
SADC,2012-12-01,-0.09656722843647003,-0.2020641267299652
SADC,2013-01-01,-0.0584937259554863,-0.09656722843647003
SADC,2013-02-01,-0.21011632680892944,-0.0584937259554863
SADC,2013-03-01,-0.3586357831954956,-0.21011632680892944
SADC,2013-04-01,-0.5713087916374207,-0.3586357831954956
SADC,2013-05-01,-0.390836238861084,-0.5713087916374207
SADC,2013-06-01,-0.4308754801750183,-0.390836238861084
SADC,2013-07-01,-0.5980743765830994,-0.4308754801750183
SADC,2013-08-01,-0.6009754538536072,-0.5980743765830994
SADC,2013-09-01,-0.5844874382019043,-0.6009754538536072
SADC,2013-10-01,-0.26807063817977905,-0.5844874382019043
SADC,2013-11-01,-0.31233036518096924,-0.26807063817977905
SADC,2013-12-01,0.08482980728149414,-0.31233036518096924
SADC,2014-01-01,0.13446485996246338,0.08482980728149414
SADC,2014-02-01,0.27665480971336365,0.13446485996246338
SADC,2014-03-01,-0.06715040653944016,0.27665480971336365
SADC,2014-04-01,-0.05482824146747589,-0.06715040653944016
SADC,2014-05-01,-0.26435428857803345,-0.05482824146747589
SADC,2014-06-01,-0.05723849684000015,-0.26435428857803345
SADC,2014-07-01,-0.565678060054779,-0.05723849684000015
SADC,2014-08-01,-0.52436763048172,-0.565678060054779
SADC,2014-09-01,-0.5622720122337341,-0.52436763048172
SADC,2014-10-01,-0.4618264436721802,-0.5622720122337341
SADC,2014-11-01,-0.24629159271717072,-0.4618264436721802
SADC,2014-12-01,-0.03508831188082695,-0.24629159271717072
SADC,2015-01-01,-0.12083781510591507,-0.03508831188082695
SADC,2015-02-01,-0.4832873046398163,-0.12083781510591507
SADC,2015-03-01,-0.5480183362960815,-0.4832873046398163
SADC,2015-04-01,-0.3847866952419281,-0.5480183362960815
SADC,2015-05-01,-0.23237553238868713,-0.3847866952419281
SADC,2015-06-01,-0.2264038622379303,-0.23237553238868713
SADC,2015-07-01,-0.6855679750442505,-0.2264038622379303
SADC,2015-08-01,-0.7434436678886414,-0.6855679750442505
SADC,2015-09-01,-1.0000367164611816,-0.7434436678886414
SADC,2015-10-01,-1.2432974576950073,-1.0000367164611816
SADC,2015-11-01,-0.9110949635505676,-1.2432974576950073
SADC,2015-12-01,-0.8559877872467041,-0.9110949635505676
SADC,2016-01-01,-0.4568291902542114,-0.8559877872467041
SADC,2016-02-01,-0.573045551776886,-0.4568291902542114
SADC,2016-03-01,-0.45388635993003845,-0.573045551776886
SADC,2016-04-01,-0.48438701033592224,-0.45388635993003845
SADC,2016-05-01,-0.16191008687019348,-0.48438701033592224
SADC,2016-06-01,-0.11150679737329483,-0.16191008687019348
SADC,2016-07-01,-0.26158541440963745,-0.11150679737329483
SADC,2016-08-01,-0.7292851209640503,-0.26158541440963745
SADC,2016-09-01,-0.6339430212974548,-0.7292851209640503
SADC,2016-10-01,-0.7951998114585876,-0.6339430212974548
SADC,2016-11-01,-0.6299298405647278,-0.7951998114585876
SADC,2016-12-01,-0.5774139165878296,-0.6299298405647278
SADC,2017-01-01,-0.11721417307853699,-0.5774139165878296
SADC,2017-02-01,0.23308049142360687,-0.11721417307853699
SADC,2017-03-01,0.28592926263809204,0.23308049142360687
SADC,2017-04-01,0.15378324687480927,0.28592926263809204
SADC,2017-05-01,-0.13922765851020813,0.15378324687480927
SADC,2017-06-01,-0.0701545923948288,-0.13922765851020813
SADC,2017-07-01,-0.5955811738967896,-0.0701545923948288
SADC,2017-08-01,-0.9902729988098145,-0.5955811738967896
SADC,2017-09-01,-1.0510352849960327,-0.9902729988098145
SADC,2017-10-01,-0.37416112422943115,-1.0510352849960327
SADC,2017-11-01,-0.18019209802150726,-0.37416112422943115
SADC,2017-12-01,0.033830929547548294,-0.18019209802150726
SADC,2018-01-01,-0.1161445900797844,0.033830929547548294
SADC,2018-02-01,-0.050310175865888596,-0.1161445900797844
SADC,2018-03-01,-0.046620190143585205,-0.050310175865888596
SADC,2018-04-01,0.0769902914762497,-0.046620190143585205
SADC,2018-05-01,0.05838162824511528,0.0769902914762497
SADC,2018-06-01,0.03577200323343277,0.05838162824511528
SADC,2018-07-01,-0.16864565014839172,0.03577200323343277
SADC,2018-08-01,-0.46620118618011475,-0.16864565014839172
